region,canton,total_pop,FRI,max_fsi,urban_ratio,building_count,min_rwi
Plateaux,Kpéssi,10165.333509,0.07726181760370705,148.54681396484375,0.0,0.0,-0.725
Plateaux,Nyamassila,16481.692365,0.10995096847868442,86.7798080444336,0.0,11.0,-0.809
Plateaux,Notsé,73732.515104,0.23284450607982204,151.68605041503906,0.025998130592382544,9.0,-0.906
Plateaux,Dalia,28191.079546,0.11826723531506896,88.67254638671875,0.0,10.0,-0.937
Plateaux,Atchavé,20226.214218,0.10222796319755842,86.99099731445312,0.0,5.0,-0.788
Plateaux,Asrama,48745.852066,0.11979247712558645,157.2406463623047,0.0,3.0,-0.787
Plateaux,Kpédomé,50776.016466,0.16578503575452574,157.71360778808594,0.002847329510610541,8.0,-0.927
Plateaux,Kpegnon (Haito),15232.345585000001,0.10063913258595102,86.7798080444336,0.0,6.0,-0.917
Plateaux,Wahala,45121.113775,0.16539548574364726,151.26197814941406,0.0,37.0,-1.078
Plateaux,Tové,11399.252305,0.0722415599150464,79.56925201416016,0.00021698221133975947,0.0,-0.594
Plateaux,Agome-Kpalime,91933.23852,0.40891379968337294,78.69180297851562,0.45546686832193806,209.0,0.596
Plateaux,Yokélé,7784.196287000001,0.08893409239931502,80.94175720214844,0.005609830291613173,0.0,-0.725
Plateaux,Tomé,5752.222206,0.06306041985488599,82.76820373535156,0.0,0.0,-0.634
Plateaux,Kpadapé,7637.625256,0.08525355390728438,78.15660858154297,0.0,7.0,-0.733
Plateaux,Womé,5973.0141,0.06877815390239382,77.4021987915039,0.0,1.0,-1.264
Plateaux,Gbalabé,3104.84124,0.05304216464416353,81.84275817871094,0.0,0.0,-0.258
Plateaux,Hanyigba,5002.51248,0.059160119778155607,76.918212890625,0.0,0.0,-0.388
Plateaux,Lavié,3665.581395,0.07602376261882716,80.40229797363281,0.0,5.0,-0.592
Plateaux,Lavié-Apédomé,3056.5544400000003,0.07863893335792614,85.66124725341797,0.0,6.0,-0.63
Plateaux,Kpimé,5920.15125,0.15443376006049347,145.8684539794922,0.0,278.0,-0.424
Plateaux,Agomé-Yoh,2786.14836,0.05267107211718522,80.73048400878906,0.0,0.0,0.039
Plateaux,Agomé-Tomégbé,3496.05796,0.03473949562339454,14.953729629516602,0.0,0.0,-0.36
Plateaux,Kouma,10053.68632,0.05534924693511861,14.00812816619873,0.0,7.0,-0.735
Plateaux,Kpélé-Govié,11038.306625000001,0.09175204053118426,147.7823028564453,0.0,2.0,-0.683
Plateaux,Kpélé-Novivé,29004.495967000003,0.08278278149582753,84.57323455810547,0.0,0.0,-0.925
Plateaux,Kpélé-Akata,5662.813675,0.06612293577006127,84.06465148925781,0.0,0.0,-0.843
Plateaux,Kpélé-Dawlotou,13154.682756,0.07519199473233705,90.25726318359375,0.0,0.0,-0.786
Plateaux,Kpélé-Nord,10294.197499000002,0.07595440408948807,144.45828247070312,0.0,0.0,-0.616
Plateaux,Kpélé-Dutoé,4487.601402,0.05988902645856569,79.2884292602539,0.0,0.0,-0.261
Plateaux,Kpélé-Kamé,9449.659212,0.06831826261759355,80.58971405029297,0.0,0.0,-0.495
Plateaux,Kpélé-Gbalédzé,3793.3026000000004,0.059288270620064414,78.73518371582031,0.0,0.0,-0.485
Plateaux,Kpélé-Centre,8063.4284640000005,0.09232180800523015,81.90419006347656,0.0,8.0,-0.618
Plateaux,Tohoun,18406.362560999998,0.08387689201578151,155.29583740234375,0.0,0.0,-0.797
Plateaux,Tado,20067.795062,0.17796966080944704,155.29583740234375,0.0,191.0,-0.867
Plateaux,Ahassomè,6345.096891,0.07321418325708715,157.71360778808594,0.0,0.0,-0.833
Plateaux,Katomé,8271.114554,0.06781979220354468,86.01528930664062,0.0,0.0,-0.796
Plateaux,Kpékplémé,20879.864094,0.15692578948236222,87.84256744384766,0.0,120.0,-0.889
