region,prefecture,canton,communaute_louvain,priority_score,FRI,total_pop
Kara,Kozah,Lassa,0,36.1,0.0998195892641064,16926.505
Kara,Kozah,Kara,0,59.8,0.4414910215440037,94804.8615
Kara,Kozah,Kouméa,0,35.8,0.0713406612041396,10651.738507
Kara,Kozah,Tcharè,0,33.5,0.0660945806523308,3815.8587
Kara,Kozah,Pya,0,33.7,0.0795392402580204,16104.830000000002
Kara,Kozah,Tchitchao,0,35.8,0.0762572481684376,8870.8033
Kara,Kozah,Bohou,0,32.7,0.0696718419263815,12607.7812
Kara,Kozah,Sara-Kawa,0,34.2,0.0686804779495097,4429.255451
Kara,Kozah,Yadè,0,34.1,0.0669729215486152,7549.5499
Kara,Kozah,Awandjélo,0,34.5,0.0713060169539604,12525.351144
Kara,Kozah,Kpinzindè,0,36.1,0.0724180795052145,11623.558266
Kara,Kozah,Djamdè,0,34.6,0.0666164313304839,3231.623618
Kara,Kozah,Atchangbadè,0,37.0,0.0903738963988634,18904.849326
Savanes,Cinkassé,Gouloungoussi,1,33.3,0.0615235373246903,4300.628436
Savanes,Cinkassé,Noaga,1,34.1,0.0546258032417458,1351.872147
Savanes,Cinkassé,Boadé,1,44.0,0.1956282929022141,46270.254552
Savanes,Cinkassé,Biankouri,1,34.0,0.0719265694421863,15559.899868
Savanes,Cinkassé,Nadjoundi,1,34.6,0.0702018441342477,10168.010764
Savanes,Cinkassé,Timbou,1,36.8,0.0833498358582323,16092.887444
Savanes,Cinkassé,Sam-Naba,1,34.7,0.0763458995631501,9367.473667
Savanes,Kpendjal,Tambigou,1,36.9,0.1425600836003102,4299.376432
Savanes,Kpendjal,Koundjoaré,1,38.7,0.109237385455536,17254.4925
Savanes,Kpendjal,Mandouri,1,41.9,0.1915673478324314,18144.133
Savanes,Kpendjal,Borgou,1,41.9,0.1906846037287727,22484.672
Savanes,Kpendjal-Ouest,Naki-Est,1,39.2,0.1000971872801111,26579.8081
Savanes,Kpendjal-Ouest,Nayéga,1,33.6,0.0663249748238143,6958.462
Savanes,Kpendjal-Ouest,Ogaro,1,40.3,0.131119549821651,22513.0045
Savanes,Kpendjal-Ouest,Papri,1,34.7,0.0737287697051754,15016.225
Savanes,Kpendjal-Ouest,Tambonga,1,35.8,0.0694402805651269,8108.7615
Savanes,Kpendjal-Ouest,Namoundjoga,1,36.0,0.0934826956992056,9661.3825
Savanes,Kpendjal-Ouest,Pogno,1,38.4,0.0793543152331156,19484.478752
Savanes,Oti,Mango,8,43.7,0.1485936522422084,46142.328
Savanes,Oti,Sadori,8,37.2,0.0982143238265335,8584.756000000001
Savanes,Oti,Faré,8,34.9,0.0659186698814441,4530.68
Savanes,Oti,Barkoissi,1,45.7,0.2207886723898737,38451.339236
Savanes,Oti,Nagbéni,1,41.7,0.1752720735605763,24676.7785
Savanes,Oti,Tchanaga,8,37.0,0.0756794940494176,6490.052000000001
Savanes,Oti,Galangashie,8,39.8,0.1535981720884317,13586.156
Savanes,Oti-Sud,Sagbiebou,8,38.6,0.0745028629053183,12685.904
Savanes,Oti-Sud,Tchamonga,1,42.4,0.1630310034329571,25849.078
Savanes,Oti-Sud,Mogou,8,37.1,0.0776881627045111,16910.616
