region,prefecture,commune,canton,total_pop,FRI,max_fsi,min_rwi,urban_ratio,building_count,min_dist_basin,nb_ouvrages_documentes,ouvrages_pour_10000_hab,pression_actuelle,priority_score,segment,risque_eleve,canton_id
Plateaux,Akébou,Akébou 1,Gbendè,3114.00544,0.056407310860452226,78.57782745361328,-0.791,0.0,0.0,2453.342715157213,0.0,0.0,3114.00544,34.4,Surveillance,False,92
Plateaux,Akébou,Akébou 1,Yalla,3312.480512,0.036004083784392085,16.229267120361328,-0.535,0.0,0.0,11058.744082069272,0.0,0.0,3312.480512,32.2,Surveillance,False,93
Plateaux,Akébou,Akébou 2,Sérégbénè,8324.644187,0.06460255721295725,79.54129791259766,-0.639,0.0,0.0,5657.334197597143,0.0,0.0,8324.644187,34.6,Surveillance,False,94
Plateaux,Akébou,Akébou 2,Kpalavé,7665.24416,0.06579630054890105,81.87489318847656,-0.765,0.0,0.0,7005.197680090799,0.0,0.0,7665.24416,35.2,Surveillance,False,95
Plateaux,Akébou,Akébou 2,Kamina-Akébou,11450.65701,0.11623489232452827,85.93804168701172,-0.776,0.0,45.0,15403.199974788344,0.0,0.0,11450.65701,37.8,Nouveaux ouvrages prioritaires,True,96
Plateaux,Haho,Haho 2,Djemegni,36576.906716,0.0868976153671787,91.07096099853516,-0.813,0.0,0.0,0.0,0.0,0.0,36576.906716,40.0,Nouveaux ouvrages prioritaires,False,97
Plateaux,Amou,Amou 1,Adiva,2336.723379,0.057180066478038326,81.43409729003906,-0.708,0.0,0.0,0.0,0.0,0.0,2336.723379,33.9,Surveillance,False,98
Plateaux,Amou,Amou 1,Imlè-Adiva,10041.092236999999,0.071100957849045,85.93804168701172,-0.714,0.0,0.0,0.0,0.0,0.0,10041.092236999999,35.5,Surveillance,False,99
Plateaux,Amou,Amou 1,Amlamé (Ouma),18899.756923999998,0.0750864489808197,80.60755920410156,-0.468,0.0,0.0,1304.226270291404,0.0,0.0,18899.756923999998,35.3,Nouveaux ouvrages prioritaires,False,100
Plateaux,Amou,Amou 2,Kpatégan,17720.923296,0.07935730883240856,90.81365966796875,-1.047,0.0,0.0,0.0,0.0,0.0,17720.923296,38.6,Nouveaux ouvrages prioritaires,False,101
Plateaux,Amou,Amou 2,Ekpégnon,7245.19035,0.0662528021990418,81.92353820800781,-0.514,0.0,0.0,0.0,0.0,0.0,7245.19035,33.8,Surveillance,False,102
Plateaux,Amou,Amou 2,Amou-Oblo,22608.108086,0.10248944072162426,81.7748031616211,-0.582,0.0,6.0,723.1905918493783,0.0,0.0,22608.108086,37.5,Nouveaux ouvrages prioritaires,False,103
Plateaux,Amou,Amou 2,Sodo,8532.693758,0.06749722734582961,79.6336898803711,-0.579,0.0,0.0,2560.3146247840705,0.0,0.0,8532.693758,34.4,Surveillance,False,104
Plateaux,Amou,Amou 3,Gamé,5518.620946,0.0652040915963295,88.84271240234375,-0.726,0.0,0.0,2407.9361905773853,0.0,0.0,5518.620946,34.7,Surveillance,False,105
Plateaux,Amou,Amou 3,Otadi,7676.978117,0.06586623537742643,81.80941009521484,-0.693,0.0,0.0,4750.830954943804,0.0,0.0,7676.978117,34.8,Surveillance,False,106
Plateaux,Amou,Amou 3,Hihéatro,9315.264642,0.1005908500522796,81.36557006835938,-0.647,0.0,15.0,4738.160564919164,0.0,0.0,9315.264642,36.1,Surveillance,False,107
Plateaux,Amou,Amou 3,Okpahoé,2465.47937,0.05502426567655527,78.32300567626953,-0.602,0.0,0.0,6718.097973936284,0.0,0.0,2465.47937,33.2,Surveillance,False,108
Plateaux,Amou,Amou 3,Evou,5187.638784,0.06539766718910811,82.4784164428711,-0.879,0.0,0.0,1.992975750498269,0.0,0.0,5187.638784,35.6,Surveillance,False,109
Plateaux,Amou,Amou 3,Témédja,3194.991074,0.06055740809725265,88.26507568359375,-0.687,0.0,0.0,2545.1631739496765,0.0,0.0,3194.991074,34.0,Surveillance,False,110
Plateaux,Amou,Amou 3,Avédjè,4411.445912,0.07800545742663173,88.53561401367188,-0.742,0.0,3.0,0.0,0.0,0.0,4411.445912,35.2,Surveillance,False,111
Plateaux,Anié,Anié 1,Pallakoko,17826.338416000002,0.07708761222005658,88.42942810058594,-0.983,0.0,0.0,5229.190706734451,0.0,0.0,17826.338416000002,38.2,Nouveaux ouvrages prioritaires,False,112
Plateaux,Anié,Anié 1,Anié,95578.611722,0.28209952572314817,157.71360778808594,-0.816,0.03310520423114782,23.0,0.0,0.0,0.0,95578.611722,55.0,Nouveaux ouvrages prioritaires,True,113
Plateaux,Anié,Anié 1,Kolo-Kopé,19721.753754,0.19808492287127416,153.67974853515625,-0.848,0.0,407.0,6743.626645900728,0.0,0.0,19721.753754,42.4,Nouveaux ouvrages prioritaires,True,114
Plateaux,Anié,Anié 2,Adogbénou,26944.192379,0.08284278993699379,85.06275177001953,-0.942,0.0,0.0,0.0,0.0,0.0,26944.192379,39.3,Nouveaux ouvrages prioritaires,False,115
Plateaux,Anié,Anié 2,Atchinédji,10756.005673,0.0789154783154618,157.71360778808594,-0.85,0.0,0.0,3932.4426597734796,0.0,0.0,10756.005673,36.6,Nouveaux ouvrages prioritaires,False,116
Plateaux,Anié,Anié 2,Glitto,34872.058971,0.10443136004486281,157.71360778808594,-0.918,0.0,1.0,0.0,0.0,0.0,34872.058971,41.0,Nouveaux ouvrages prioritaires,False,117
Plateaux,Danyi,Danyi 1,Danyi-Atigba,15155.070330999999,0.09588909270305729,79.43477630615234,-0.51,0.0,6.0,0.0,0.0,0.0,15155.070330999999,35.9,Nouveaux ouvrages prioritaires,False,118
Plateaux,Danyi,Danyi 1,Yikpa,1162.074347,0.03227230064970756,15.150625228881836,-0.452,0.0,0.0,8803.131272927289,0.0,0.0,1162.074347,31.3,Surveillance,False,119
Plateaux,Danyi,Danyi 1,Danyi-Kakpa,3274.931508,0.05775581079052935,76.24308776855469,-0.77,0.0,0.0,5077.229682257863,0.0,0.0,3274.931508,34.4,Surveillance,False,120
Plateaux,Danyi,Danyi 2,Danyi-Kpeto-Evita,6526.8629679999995,0.0805758296814765,78.64682006835938,-0.583,0.0,4.0,2488.615729511059,0.0,0.0,6526.8629679999995,34.6,Surveillance,False,121
Plateaux,Danyi,Danyi 2,Danyi-Elavagnon,7346.001979,0.064393674174641,78.02587127685547,-0.756,0.0,0.0,5109.136921324768,0.0,0.0,7346.001979,35.1,Surveillance,False,122
Plateaux,Danyi,Danyi 2,Ahlon,3053.399112,0.05673293247021302,76.40667724609375,-0.435,0.0,0.0,896.2678074995156,0.0,0.0,3053.399112,32.4,Surveillance,False,123
Plateaux,Est-Mono,Est-Mono 1,Elavagnon,53404.074907,0.19783470099529202,90.40618896484375,-0.858,0.0,222.0,0.0,0.0,0.0,53404.074907,46.7,Nouveaux ouvrages prioritaires,True,124
Plateaux,Est-Mono,Est-Mono 1,Gbadjahè,13929.303658,0.15194283225162797,151.26197814941406,-0.794,0.0,76.0,0.0,0.0,0.0,13929.303658,39.6,Nouveaux ouvrages prioritaires,True,125
Plateaux,Est-Mono,Est-Mono 2,Morétan,59393.318924,0.10187135187658801,144.5506591796875,-1.052,0.0,0.0,0.0,0.0,0.0,59393.318924,44.8,Nouveaux ouvrages prioritaires,False,126
Plateaux,Est-Mono,Est-Mono 2,Badin-Copé,22368.261708,0.08755453820966552,144.07395935058594,-0.884,0.0,0.0,0.0,0.0,0.0,22368.261708,38.6,Nouveaux ouvrages prioritaires,False,127
Plateaux,Est-Mono,Est-Mono 2,Kamina,15178.453688,0.0829451215948839,147.4861602783203,-0.892,0.0,0.0,0.0,0.0,0.0,15178.453688,37.6,Nouveaux ouvrages prioritaires,False,128
